# Detector log started : 2026-07-06 21:15:55.159
# Port                 : /dev/cu.usbmodem142101  Baud: 115200
# Author               : (unset)
# Threshold            : 20 mV
# Columns              : pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
#
pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
2026-07-06 21:17:52.149	414	371400	66	1.1100	20
2026-07-06 21:17:52.871	415	372092	62	1.1200	20
2026-07-06 21:17:53.002	416	372245	94	1.1200	20
2026-07-06 21:17:53.167	417	372351	20	1.1200	20
2026-07-06 21:17:53.269	418	372471	75	1.1200	20
2026-07-06 21:17:53.974	419	373148	70	1.1200	20
2026-07-06 21:17:54.156	420	373374	40	1.1200	20
2026-07-06 21:17:54.156	421	373405	70	1.1300	20
2026-07-06 21:17:55.252	422	374519	96	1.1300	20
2026-07-06 21:17:55.752	423	374938	78	1.1300	20
2026-07-06 21:17:56.553	424	375742	30	1.1300	20
2026-07-06 21:18:00.752	425	379958	45	1.1200	20
2026-07-06 21:18:01.277	426	380313	45	1.1200	20
2026-07-06 21:18:02.677	427	381888	30	1.1200	20
2026-07-06 21:18:03.767	428	382901	63	1.1200	20
2026-07-06 21:18:04.956	429	384221	90	1.1200	20
2026-07-06 21:18:05.084	430	384324	25	1.1200	20
2026-07-06 21:18:05.163	431	384381	31	1.1200	20
2026-07-06 21:18:08.960	432	388220	183	1.1100	20
2026-07-06 21:18:09.047	433	388272	31	1.1200	20
2026-07-06 21:18:09.554	434	388825	26	1.1200	20
2026-07-06 21:18:10.456	435	389631	31	1.1200	20
2026-07-06 21:18:10.552	436	389780	22	1.1200	20
2026-07-06 21:18:11.056	437	390269	64	1.1200	20
2026-07-06 21:18:12.255	438	391446	83	1.1200	20
2026-07-06 21:18:13.873	439	393152	20	1.1200	20
2026-07-06 21:18:14.647	440	393872	50	1.1200	20
2026-07-06 21:18:14.854	441	394053	25	1.1200	20
2026-07-06 21:18:15.371	442	394605	20	1.1200	20
2026-07-06 21:18:15.490	443	394755	34	1.1200	20
2026-07-06 21:18:15.657	444	394926	23	1.1200	20
2026-07-06 21:18:16.664	445	395893	60	1.1200	20
2026-07-06 21:18:16.665	446	395928	45	1.1300	20
2026-07-06 21:18:18.846	447	398037	98	1.1200	20
2026-07-06 21:18:19.147	448	398381	21	1.1200	20
2026-07-06 21:18:19.250	449	398511	88	1.1300	20
2026-07-06 21:18:19.451	450	398668	21	1.1300	20
2026-07-06 21:18:20.146	451	399360	24	1.1300	20
2026-07-06 21:18:20.661	452	399897	20	1.1300	20
2026-07-06 21:18:21.186	453	400394	82	1.1300	20
2026-07-06 21:18:22.057	454	401310	236	1.1300	20
2026-07-06 21:18:24.146	455	403412	136	1.1300	20
2026-07-06 21:18:24.756	456	403975	129	1.1300	20
2026-07-06 21:18:25.579	457	404783	69	1.1300	20
2026-07-06 21:18:28.447	458	407678	41	1.1200	20
2026-07-06 21:18:29.371	459	408608	23	1.1200	20
2026-07-06 21:18:29.371	460	408649	49	1.1300	20
2026-07-06 21:18:29.560	461	408785	42	1.1300	20
2026-07-06 21:18:30.177	462	409333	83	1.1300	20
2026-07-06 21:18:30.253	463	409504	34	1.1300	20
2026-07-06 21:18:31.046	464	410303	48	1.1300	20
2026-07-06 21:18:34.870	465	414071	41	1.1200	20
2026-07-06 21:18:35.457	466	414634	24	1.1200	20
2026-07-06 21:18:35.954	467	415168	38	1.1200	20
2026-07-06 21:18:36.146	468	415399	40	1.1300	20
2026-07-06 21:18:36.553	469	415788	20	1.1300	20
2026-07-06 21:18:37.371	470	416642	65	1.1300	20
2026-07-06 21:18:37.550	471	416815	85	1.1300	20
2026-07-06 21:18:40.654	472	419861	20	1.1200	20
2026-07-06 21:18:40.655	473	419922	57	1.1300	20
2026-07-06 21:18:41.671	474	420901	88	1.1300	20
2026-07-06 21:18:41.992	475	421230	66	1.1300	20
2026-07-06 21:18:42.070	476	421315	45	1.1300	20
2026-07-06 21:18:42.583	477	421762	32	1.1300	20
2026-07-06 21:18:45.262	478	424481	44	1.1300	20
2026-07-06 21:18:46.156	479	425376	43	1.1300	20
2026-07-06 21:18:47.469	480	426745	37	1.1200	20
2026-07-06 21:18:48.256	481	427462	47	1.1300	20
2026-07-06 21:18:48.388	482	427550	38	1.1300	20
2026-07-06 21:18:50.463	483	429666	80	1.1200	20
2026-07-06 21:18:51.045	484	430285	143	1.1200	20
2026-07-06 21:18:52.145	485	431398	70	1.1200	20
2026-07-06 21:18:52.649	486	431829	96	1.1300	20
2026-07-06 21:18:55.661	487	434854	69	1.1200	20
2026-07-06 21:18:59.858	488	439099	56	1.1100	20
2026-07-06 21:19:00.198	489	439365	267	1.1100	20
2026-07-06 21:19:00.654	490	439933	79	1.1100	20
2026-07-06 21:19:00.750	491	439977	35	1.1200	20
2026-07-06 21:19:01.054	492	440252	23	1.1200	20
2026-07-06 21:19:01.175	493	440381	32	1.1200	20
2026-07-06 21:19:02.768	494	442021	49	1.1200	20
2026-07-06 21:19:03.265	495	442543	45	1.1200	20
2026-07-06 21:19:04.152	496	443345	36	1.1200	20
2026-07-06 21:19:07.052	497	446332	61	1.1100	20
2026-07-06 21:19:07.167	498	446373	22	1.1200	20
2026-07-06 21:19:07.450	499	446730	20	1.1200	20
2026-07-06 21:19:08.045	500	447306	396	1.1200	20
2026-07-06 21:19:08.752	501	448020	122	1.1200	20
2026-07-06 21:19:10.395	502	449580	42	1.1200	20
2026-07-06 21:19:10.397	503	449595	43	1.1200	20
2026-07-06 21:19:10.950	504	450141	70	1.1200	20
2026-07-06 21:19:10.951	505	450200	31	1.1200	20
2026-07-06 21:19:10.952	506	450225	30	1.1200	20
2026-07-06 21:19:12.056	507	451261	45	1.1200	20
2026-07-06 21:19:12.057	508	451273	55	1.1300	20
2026-07-06 21:19:12.477	509	451669	22	1.1300	20
2026-07-06 21:19:13.153	510	452402	73	1.1300	20
2026-07-06 21:19:13.291	511	452437	68	1.1300	20
2026-07-06 21:19:14.073	512	453249	60	1.1300	20
2026-07-06 21:19:14.755	513	453985	45	1.1300	20
2026-07-06 21:19:15.644	514	454896	55	1.1300	20
2026-07-06 21:19:15.748	515	454959	323	1.1300	20
